Product;total # of formats;.cbr/.cbz;.chm;.djvu;.epub;.fb2;.html;.mobi;.pdb;.pdf;.rtf;.txt
Apabi Reader;4;No;No;No;Yes;No;No;No;No;Yes;No;Yes
Blio;3;No;No;No;Yes;No;No;No;No;Yes;No;No
Bluefire Reader;2;No;No;No;Yes;No;No;No;No;Yes;No;No
eBookMobi;10+;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
i2Reader;6+;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes
iBooks;2;No;No;No;Yes;No;No;No;No;Yes;No;No
Kindle;1;No;No;No;No;No;No;Yes;No;Yes;No;No
Kobo eBooks;2;No;No;No;Yes;No;No;No;No;Yes;No;No
MegaReader;1;No;No;No;Yes;No;No;No;No;No;No;No
ShuBook;4+;No;No;No;Yes;No;No;No;Yes;Yes;No;Yes
Stanza;5+;Yes;No;Yes;Yes;No;No;No;Yes;Yes;No;No
uBooks;4;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes
