Name;DNSBL;SURBL;Spamtraps;;SPF;Tarpit;Bayesian filters;Regular expressions;Embedded Antivirus;Embedded Antispam;Greylisting
agorum core;No;No;No;;No;No;No;Yes;No;No;No
Apache James;;;;;;;Yes;;;;No
Atmail;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;ClamAV;SpamAssassin and Exim ACLs;Yes
Axigen;Yes;No;No;;Yes;No;in SpamAssassin;Yes;Commtouch;SpamAssassin;Yes
CommuniGate Pro;Yes;Yes;Yes;;Yes;Yes;Optional;Yes;Optional;Optional;No
Courier Mail Server;Yes;;Yes;;Yes;Yes;Yes;Yes;Clamav;Yes;Yes
Digital Integration iMail5;Yes;No;No;;No;No;No;Optional;Optional;Proprietary;Yes
Dovecot;;;;;;;;;;;No
Eudora Internet Mail Server;Yes;;Yes;;;;;;;;Yes
Exim;Yes;Yes;Yes;;Yes;Yes;Optional;Yes;Optional;Optional;Yes
FirstClass;Yes;Yes;No;;Yes;Yes;Yes;Yes;Symantec;;No
Gordano Messaging Suite;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Commtouch, Authentium;Commtouch;Yes
GroupWise;Yes;;;;;;;;;;No
Hexamail Server;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;BitDefender;Yes;Yes
IndiMail;Yes;Yes;No;;Yes;Yes;Yes;Yes;ClamAV;Bogofilter;Yes
Ipswitch IMail Server;Yes;Yes;No;;Yes;No;Yes;Yes;Symantec, BitDefender;Commtouch;No
JMail;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;ClamAV and/or optional any;and/or built-in;Yes
Kerio Connect;Yes;Yes;;;Yes;Yes;Yes;;Optional;Yes;No
MagicMail;Yes;No;Yes;;;;No;Yes;Yes;Yes;No
MailSite Fusion;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;Yes;Yes
Mailtraq;;;;;;;;;;;No
MDaemon Mail Server;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Optional;Yes;Yes
Meldware Mail Server;;;;;;;;;;;No
Mercury Mail Transport System;Yes;;;;;;Yes;;ClamWall extension;;Yes
Microsoft Exchange Server;Yes;;;;Yes;Yes;;;;;Yes
Mirapoint;Yes;No;Yes;;Yes;Yes;Yes;Yes;Commtouch, Sophos, F-Secure;Commtouch, Sophos, SPamAssassin;Yes
NetMail;;;;;;;;;;;No
Oracle Communications Messaging Exchange Server;Yes;Yes;Yes;;Yes;Yes;Optional;Yes;Optional;Optional;Yes
Postfix;Yes;;;;Yes;;Optional;Yes;via content filter interface;via content filter interface;Yes
qmail;;;;;;;No;;No;No;Yes
Sendmail;;;;;;;;;ClamAV;SpamAssassin;Yes
SurgeMail;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes
WinGate;;;;;;;;;;;No
Zarafa;No;No;No;;No;No;No;No;No;No;No
Zimbra;Yes;;;;;;;;ClamAV;SpamAssassin;
