Name;SMTP AUTH;POP before SMTP;APOP;Filesystem;Database;LDAP
agorum core;Yes;No;No;No;Yes;Yes
Apache James;Yes;;;;Yes;Yes
Atmail;Yes;Yes;Yes;Yes;Yes;Yes
Axigen;Yes;No;Yes;No;No;Yes
CommuniGate Pro;Yes;Yes;Yes;Yes;Yes;Yes
Courier Mail Server;Yes;Yes;Yes;Yes;Yes;Yes
Digital Integration iMail5;Yes;No;Yes;No;No;No
Dovecot;No;No;Yes;Yes;Yes;Yes
Eudora Internet Mail Server;Yes;No;Yes;Yes;No;No
Exim;Yes;Yes;Yes;Yes;Yes;Yes
FirstClass;Yes;;;Yes;Yes;Yes
Gordano Messaging Suite;Yes;Yes;Yes;No;Yes;Yes
GroupWise;Yes;Yes;Yes;Yes;Yes;Yes
Hexamail Server;Yes;Yes;Yes;Yes;No;Yes
IndiMail;Yes;Yes;No;Yes;Yes;Yes
Ipswitch IMail Server;Yes;No;Yes;Yes;Yes;Yes
JMail;Yes;No;Yes;No;No;No
Kerio Connect;Yes;Yes;Yes;Yes;No;Yes
MagicMail;Yes;No;No;Yes;Yes;No
MailSite Fusion;Yes;No;Yes;Yes;Yes;Yes
Mailtraq;Yes;Yes;Yes;Yes;Yes;Yes
MDaemon Mail Server;Yes;Yes;Yes;No;Yes;Yes
Meldware Mail Server;Yes;No;Yes;Yes;Yes;Yes
Mercury Mail Transport System;Yes;Yes;Yes;Yes;No;No
Microsoft Exchange Server;Yes;;Yes;No;No;Yes
Mirapoint;Yes;Yes;Yes;Yes;Yes;Yes
NetMail;Yes;Yes;Yes;Yes;Yes;Yes
Oracle Communications Messaging Exchange Server;Yes;Yes;Yes;Yes;Yes;Yes
Postfix;Yes;No;No;Yes;Yes;Yes
qmail;;;;;;No
Sendmail;Yes;Yes;No;Yes;Yes;Yes
SurgeMail;Yes;Yes;Yes;Yes;Yes;Yes
WinGate;Yes;Yes;Yes;Yes;Yes;No
Zarafa;Yes;Yes;;Yes;Yes;Yes
Zimbra;Yes;No;Yes;Yes;Yes;Yes
