Name;AI;Player_blocking;Dynamic_strategy;Track_learning;Faster_as_tires_warm;AI_mistakes
NASCAR_2003;Yes;Partial;Partial;No;Yes;Partial
Racer;Yes;No;No;No;No;No
GTR;Yes;No;No;No;No;Yes
GT_Legends;Yes;No;No;No;No;Yes
GTR_2;Yes;Yes;Yes;Yes;Yes;Yes
RACE;Yes;No;No;No;No;Yes
rFactor;Yes;No;No;Yes;Yes;Partial
netKar_Namie;No;No;No;No;No;No
netKar_Pro;No;No;No;No;No;No
Live_for_Speed;Yes;Yes;No;Yes;Yes;Yes
Richard_Burns_Rally;Yes;No;No;No;No;Yes
Drivers_Republic;No;No;No;No;No;No
Virtual_Grand_Prix_2;Yes;No;No;No;No;No
X_Motor_Racing;Yes;No;Yes;No;No;Yes
F1_Challenge_9902;Yes;No;Yes;Partial;Yes;Yes
TORCS;Yes;Yes;Partial;Yes;No;Yes
Grand_Prix_Legends;Yes;No;Partial;No;No;Yes
Grand_Prix_4;Yes;Yes;Yes;No;Yes;Yes
iRacing_com;No;No;No;No;No;No
