Name;Wishbone_component;Strut_bar_component;Axle_component;monoshock_component;Trailing_arms;Double_wishbone;Front_MacPherson_strut;Rear_MacPherson_strut
NASCAR_2003;Yes;No;Yes;No;No;Yes;No;No
Racer;No;No;No;No;Partial;Partial;Partial;Partial
GTR;Yes;No;No;No;No;No;No;No
GT_Legends;Yes;No;No;No;No;Yes;No;No
GTR_2;Yes;Yes;Yes;Yes;Yes;Yes;No;No
RACE;No;No;No;No;No;No;No;No
rFactor;Yes;No;Yes;Yes;Yes;Yes;No;No
netKar_Namie;Yes;No;Yes;No;No;Yes;No;No
netKar_Pro;Yes;Yes;Yes;Yes;No;Yes;Yes;No
Live_for_Speed;Yes;No;No;No;Partial;Yes;Yes;Yes
Richard_Burns_Rally;Yes;No;No;No;No;No;Yes;No
Drivers_Republic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Virtual_Grand_Prix_2;Yes;No;Yes;Yes;Yes;Yes;No;No
X_Motor_Racing;Yes;Yes;No;No;Yes;Yes;Yes;Yes
F1_Challenge_9902;Yes;Yes;No;No;No;Yes;No;No
TORCS;Yes;Yes;Yes;No;No;No;Yes;Yes
Grand_Prix_Legends;Yes;Yes;No;No;No;Yes;No;No
Grand_Prix_4;Yes;No;No;No;No;No;No;No
iRacing_com;No;No;No;No;No;No;No;No
