Name;Multiple Store Fronts;Affiliates;API (Remote Management Functions);Minimum Orders;Multiple Vendor Support
IzzoNet;No;No;Yes;Yes;No
AbanteCart;Yes;No;No;Yes;No
Ashop Commerce;;Yes;No;Yes;No
24SevenCart;;Yes;No;Yes;Yes
Avactis;;Yes;Yes;Yes;No
AdVantShop.NET;No;No;No;No;No
AspDotNetStorefront;Yes;Yes;Yes;Yes;No
Batavi;;No;No;Yes;Yes
BigCommerce;No;No;Yes;Yes;3rd party service via Ordoro
Bitcart;;Yes;No;Yes;Yes
CartXpress;;Yes;No;Yes;Yes
CARTZ Link;;Yes;No;Yes;Yes
CoreCommerce;No;Yes;Yes;Yes;Yes
CRUCIAL SOLUTION;;Yes;No;Yes;Yes
CS-Cart;;Yes;No;Yes;No
Cube Cart;;Yes;No;Yes;No
DantoCart;No;No;No;;Yes
eCommerce Framework G5 (ECF);;No;No;;No
Ecommerce Shopping Cart Software;;Yes;No;No;No
Ecommerce Templates;No;Yes;No;Yes;No
Flying Cart;;;;No;No
Fortune3;;Yes;No;Yes;No
Go Ecommerce;;Yes;No;No;No
Interspire Shopping Cart;No;No;Yes;No;No
iScripts Multicart;;Yes;No;No;Yes
JadaSite;;No;No;No;No
JShop Server;;Yes;No;Yes;No
k-eCommerce;Yes;Yes;Yes;Yes;Yes
KonaKart;;No;Yes;Yes;Yes
LiteCommerce;;Yes;Yes;Yes;No
LiveCart;;No;Yes;Yes;No
Magento;;No;Yes;Yes;Yes
ePages;Yes;Yes;Yes;Yes;Yes
nopCommerce;;Yes;No;Yes;No
OpenCart;Yes;Yes;No;Yes;No
osCommerce;;No;No;Yes;No
OXID eShop;;Yes;Yes;Yes;No
PDshop;;;No;;Yes
PhPepperShop;;Yes;Yes;No;No
Pinnacle Cart;;No;Yes;Yes;Yes
PrestaShop;Yes;Yes;Yes;Yes;Yes
ProductCart;;Yes;Yes;Yes;No
SearchFit;Yes;Yes;Yes;Yes;Yes
SEOshop;Yes;No;Yes;Yes;Yes
ShopCMS;;No;No;Yes;No
Shopping Cart Gold;No;No;No;Yes;No
ShoppingCart.ORG;;Yes;No;No;No
Shopify;No;Yes;Yes;Yes;Yes
Shopizer;;No;Yes;No;Yes
ShopSite;;Yes;Yes;Yes;No
SunShop;;3rd party Module;No;Yes;Yes
Superia Commerce;No;No;No;No;No
TomatoCart;;No;No;Yes;No
TOUGHCartz;;Yes;No;Yes;No
Usercart 8 Infinity;No;No;No;Yes;No
VirtueMart for Joomla!;;No;No;Yes;Yes
Volusion;No;Yes;Yes;Yes;Yes
VP-ASP Shopping Cart;Yes;Yes;No;Yes;Yes
WebAsyst Shop-Script;;Yes;No;Yes;No
X-Cart;;Yes;No;Yes;Yes
xrow E-Commerce;;;Yes;;No
Zen Cart;free Addon;3rd party Module;No;free Addon / low order fee std.;No
Zeus Cart;;No;No;Yes;No
